,Unnamed: 0,model,accuracy,recall,f1_score,support,falso_precision,falso_recall,falso_f1_score,verdadeiro_precision,verdadeiro_recall,verdadeiro_f1_score
0,0,sgd_count,61.03760445682451,50.22241992882562,38.31935950375552,287200,60.969654691314965,100.0,75.75297941495126,100.0,0.4448398576512456,0.8857395925597875
1,1,sgd_contains,40.07660167130919,49.81951920649527,32.23457280135128,287200,59.18367346938776,4.977116704805492,9.182058047493404,39.04587155963303,94.66192170818503,55.28708755520915
2,2,multinomial_count,60.79387186629527,49.94279176201373,37.808575140753575,287200,60.83623693379791,99.88558352402744,75.61715028150715,0.0,0.0,0.0
3,3,multinomial_contains,60.79387186629527,49.94279176201373,37.808575140753575,287200,60.83623693379791,99.88558352402744,75.61715028150715,0.0,0.0,0.0
4,4,percep_count,60.51532033426184,49.9362769448765,38.83031032905082,287200,60.832745236414965,98.62700228832952,75.25098210388477,36.84210526315789,1.2455516014234875,2.409638554216868
5,5,percep_contains,39.34540389972145,48.74243670447975,32.10291319582984,287200,51.61290322580645,5.491990846681922,9.927611168562564,38.49590469099032,91.99288256227756,54.27821522309711
6,6,bernouli_count,83.77437325905292,79.54042036857578,81.23783163013539,287200,79.40366972477064,99.0274599542334,88.13645621181261,97.54335260115607,60.05338078291816,74.33920704845815
7,7,benouli_contains,83.77437325905292,79.54042036857578,81.23783163013539,287200,79.40366972477064,99.0274599542334,88.13645621181261,97.54335260115607,60.05338078291816,74.33920704845815
8,8,passive_count,60.79387186629527,50.80030456770116,41.892642677716005,287200,61.2599565532223,96.79633867276888,75.03325942350332,49.09090909090909,4.804270462633451,8.752025931928689
9,9,passive_contains,60.75905292479109,50.168265511372425,39.09042409552852,287200,60.944659851956295,98.91304347826086,75.41984732824427,45.71428571428572,1.4234875444839856,2.7610008628127694
10,10,keras_count,87.63927576601671,87.03480133879494,87.02891954523105,287200,89.86834573554665,89.81693363844394,89.84263233190273,84.17777777777778,84.25266903914591,84.21520675855938
11,11,keras_contains,86.62952646239555,85.41128854939453,85.8003890431362,287200,87.51375137513752,91.0183066361556,89.23163208076275,85.10436432637572,79.80427046263345,82.36914600550965
12,12,keras_count_val,87.5,86.77746606187448,86.85326259162282,287200,89.43781942078365,90.10297482837528,89.76916500427473,84.42844284428442,83.45195729537367,83.9373601789709
13,13,keras_contains_val,86.76880222841226,85.97034129498277,86.07287697384707,287200,88.73159682899208,89.64530892448512,89.18611269208878,83.63471971066907,82.29537366548043,82.95964125560538
