,model,accuracy,recall,f1_score,support,falso_precision,falso_recall,falso_f1_score,verdadeiro_precision,verdadeiro_recall,verdadeiro_f1_score
0,sgd_count,60.863509749303624,50.0,37.83549783549783,287200,60.863509749303624,100.0,75.67099567099567,0.0,0.0,0.0
1,sgd_contains,41.74791086350975,50.207965178302395,36.781196782941436,287200,61.75548589341693,11.270022883295194,19.061441702951136,39.247943595769684,89.1459074733096,54.50095186293174
2,multinomial_count,60.8983286908078,50.04448398576512,37.9325779990859,287200,60.88470916057123,100.0,75.68737822039402,100.0,0.0889679715302491,0.17777777777777778
3,multinomial_contains,60.8983286908078,50.04448398576512,37.9325779990859,287200,60.88470916057123,100.0,75.68737822039402,100.0,0.0889679715302491,0.17777777777777778
4,percep_count,60.34122562674094,49.76149661636685,38.60003082003633,287200,60.74832333215673,98.4553775743707,75.1364330932111,30.76923076923077,1.0676156583629894,2.063628546861565
5,percep_contains,38.96239554317549,48.713628997451075,30.825693695342466,287200,48.201438848920866,3.8329519450800915,7.101218865924748,38.4924990852543,93.59430604982207,54.55016852476018
6,bernouli_count,83.8091922005571,79.63254395465688,81.31668751870282,287200,79.52139898757477,98.8558352402746,88.1407804131599,97.13876967095851,60.40925266903915,74.49259462424575
7,benouli_contains,83.8091922005571,79.63254395465688,81.31668751870282,287200,79.52139898757477,98.8558352402746,88.1407804131599,97.13876967095851,60.40925266903915,74.49259462424575
8,passive_count,60.13231197771588,49.732790703355946,39.206076212586844,287200,60.733357066571735,97.59725400457666,74.87382049594032,33.33333333333333,1.8683274021352312,3.5383319292333604
9,passive_contains,61.87325905292479,51.639392656172376,42.219745537143936,287200,61.664880314398,98.74141876430205,75.9181878161425,69.86301369863014,4.537366548042705,8.52130325814536
10,keras_count,88.57938718662952,87.61655415034568,87.9137420215373,287200,89.48832035595106,92.04805491990847,90.75014100394812,87.05772811918064,83.18505338078292,85.07734303912648
11,keras_contains,88.71866295264624,87.65157129245829,88.03185578466477,287200,89.29359823399558,92.5629290617849,90.89887640449439,87.73584905660378,82.74021352313167,85.16483516483517
12,keras_count_val,88.50974930362116,87.97222244843115,87.94809348543944,287200,90.65366972477065,90.44622425629291,90.54982817869416,85.19503546099291,85.4982206405694,85.34635879218474
13,keras_contains_val,87.04735376044567,85.88157691148807,86.2539248437139,287200,87.92723263506063,91.2471395881007,89.55642897248737,85.53875236294896,80.51601423487544,82.95142071494043
